customer_id,age,monthly_spend,tenure_months,segment
C001,37.0,389.76,15.0,SME
C002,35.0,374.21,80.0,Consumer
C003,47.0,426.12,8.0,Consumer
C004,46.0,496.75,28.0,Consumer
C005,48.0,,48.0,Consumer
C006,37.0,381.87,9.0,Consumer
C007,54.0,475.62,70.0,Consumer
C008,,408.88,11.0,SME
C009,63.0,440.16,67.0,Consumer
C010,48.0,547.0,40.0,Consumer
C011,58.0,472.99,94.0,Consumer
C012,26.0,503.03,14.0,Enterprise
C013,35.0,608.34,36.0,Consumer
C014,44.0,484.37,68.0,
C015,60.0,506.55,47.0,Enterprise
C016,47.0,413.54,29.0,SME
C017,56.0,406.64,42.0,Consumer
C018,59.0,513.92,48.0,SME
C019,37.0,,96.0,SME
C020,27.0,327.16,21.0,Consumer
C021,29.0,341.32,72.0,Consumer
C022,55.0,439.57,70.0,Consumer
C023,43.0,311.26,52.0,SME
C024,44.0,446.51,77.0,Consumer
C025,36.0,420.3,57.0,SME
C026,48.0,407.54,81.0,Enterprise
C027,54.0,249.71,69.0,Consumer
C028,40.0,352.31,6.0,Enterprise
C029,20.0,467.98,38.0,Consumer
C030,59.0,510.5,62.0,Consumer
C031,33.0,269.04,56.0,Consumer
C032,28.0,524.29,93.0,SME
C033,20.0,494.46,36.0,Consumer
C034,30.0,485.07,27.0,SME
C035,24.0,401.35,94.0,Consumer
C036,25.0,415.25,69.0,SME
C037,34.0,260.67,66.0,SME
C038,39.0,545.88,63.0,SME
C039,29.0,308.89,30.0,Consumer
C040,61.0,303.81,75.0,SME
C041,21.0,397.38,44.0,Enterprise
C042,,505.52,61.0,Enterprise
C043,53.0,528.51,14.0,Consumer
C044,49.0,403.39,37.0,Consumer
C045,60.0,541.4,37.0,Consumer
C046,58.0,356.32,47.0,Consumer
C047,21.0,457.08,69.0,SME
C048,25.0,340.95,35.0,SME
C049,31.0,370.42,14.0,Consumer
C050,52.0,292.12,80.0,SME
C051,36.0,489.25,40.0,Consumer
C052,45.0,295.16,33.0,Consumer
C053,47.0,460.23,77.0,SME
C054,37.0,364.54,25.0,Enterprise
C055,32.0,313.62,88.0,Consumer
C056,32.0,500.88,94.0,Consumer
C057,24.0,408.0,10.0,Consumer
C058,65.0,484.84,5.0,Consumer
C059,47.0,383.37,32.0,Consumer
C060,33.0,441.15,46.0,SME
C061,50.0,350.24,15.0,SME
C062,37.0,377.99,21.0,SME
C063,52.0,507.8,77.0,Enterprise
C064,58.0,506.35,43.0,SME
C065,61.0,481.9,29.0,Consumer
C066,38.0,466.75,30.0,SME
C067,59.0,404.64,36.0,SME
C068,26.0,300.87,72.0,Consumer
C069,27.0,399.16,55.0,Consumer
C070,52.0,477.52,64.0,Consumer
C071,34.0,326.2,85.0,SME
C072,48.0,666.91,45.0,Consumer
C073,38.0,531.54,51.0,Enterprise
C074,29.0,487.2,82.0,SME
C075,52.0,576.48,76.0,Consumer
C076,65.0,540.13,58.0,SME
C077,36.0,,44.0,Consumer
C078,63.0,291.5,31.0,Consumer
C079,24.0,540.79,91.0,Consumer
C080,28.0,533.75,96.0,Consumer
C081,36.0,328.73,8.0,SME
C082,61.0,325.65,82.0,Consumer
C083,62.0,260.38,71.0,Consumer
C084,,364.27,48.0,Consumer
C085,25.0,354.48,63.0,Consumer
C086,47.0,472.59,1.0,Consumer
C087,48.0,332.59,38.0,Enterprise
C088,41.0,497.58,96.0,Consumer
C089,27.0,379.0,20.0,SME
C090,35.0,333.79,57.0,Consumer
C091,65.0,497.55,20.0,Consumer
C092,57.0,278.57,91.0,Consumer
C093,41.0,391.02,58.0,Consumer
C094,20.0,490.22,10.0,Enterprise
C095,29.0,404.46,93.0,Consumer
C096,63.0,518.82,19.0,SME
C097,24.0,401.61,56.0,SME
C098,31.0,384.78,36.0,Consumer
C099,30.0,315.15,3.0,Consumer
C100,43.0,366.61,92.0,
C101,24.0,344.08,76.0,Enterprise
C102,53.0,408.27,93.0,Enterprise
C103,36.0,415.27,56.0,Consumer
C104,64.0,582.29,35.0,Consumer
C105,29.0,544.6,13.0,Consumer
C106,52.0,402.93,75.0,Consumer
C107,34.0,581.91,44.0,Consumer
C108,56.0,594.15,53.0,Consumer
C109,52.0,339.42,29.0,Enterprise
C110,40.0,,76.0,Enterprise
C111,22.0,344.99,84.0,Consumer
C112,23.0,539.16,23.0,SME
C113,54.0,452.93,75.0,SME
C114,21.0,533.53,20.0,SME
C115,20.0,366.79,85.0,Enterprise
C116,26.0,470.44,3.0,Consumer
C117,61.0,436.29,36.0,Consumer
C118,21.0,406.09,36.0,Consumer
C119,22.0,273.1,62.0,Consumer
C119,22.0,273.1,62.0,Consumer
