customer_id,segment,region
C001,Consumer,North
C002,SME,East
C003,Enterprise,West
C004,Enterprise,East
C005,SME,West
C006,Enterprise,South
C007,SME,West
C008,SME,South
C009,SME,East
C010,SME,East
C011,Enterprise,North
C012,Consumer,North
C013,SME,North
C014,Consumer,North
C015,Consumer,South
C016,Enterprise,North
C017,SME,East
C018,Consumer,East
C019,SME,North
C020,SME,East
C021,Consumer,West
C022,Consumer,East
C023,Consumer,North
C024,Enterprise,South
C025,SME,West
C026,Consumer,South
C027,Enterprise,North
C028,Consumer,North
C029,Consumer,West
C030,Consumer,South
C031,Consumer,South
C032,Enterprise,North
C033,SME,East
C034,SME,West
C035,Consumer,East
C036,Enterprise,North
C037,SME,North
C038,Enterprise,South
C039,Consumer,South
C040,Consumer,South
C041,Enterprise,West
C042,SME,South
C043,Enterprise,East
C044,Consumer,West
C045,Enterprise,West
C046,SME,North
C047,SME,North
C048,SME,West
C049,Enterprise,North
C050,Consumer,South
C051,SME,West
C052,Consumer,West
C053,Enterprise,West
C054,Consumer,West
C055,SME,East
C056,Enterprise,North
C057,Consumer,West
C058,SME,East
C059,Consumer,North
C060,Enterprise,North
C061,Consumer,North
C062,Consumer,North
C063,Consumer,East
C064,Enterprise,West
C065,Consumer,East
C066,Consumer,North
C067,SME,East
C068,Enterprise,South
C069,Consumer,East
C070,SME,North
C071,SME,South
C072,SME,East
C073,SME,West
C074,SME,West
C075,Consumer,West
C076,Consumer,East
C077,Consumer,West
C078,Consumer,North
C079,Consumer,West
C080,Consumer,South
