order_id,customer_id,revenue,units
O0001,C018,315.08,1
O0002,C055,439.31,6
O0003,C038,1169.376,8
O0004,C032,2084.992,1
O0005,C014,160.84,4
O0006,C007,417.47,11
O0007,C002,234.32,4
O0008,C079,658.89,9
O0009,C016,506.298,3
O0010,C030,457.59,3
O0011,C080,432.95,10
O0012,C028,614.06,2
O0013,C024,1253.9540000000002,8
O0014,C068,738.0100000000001,6
O0015,C068,966.9920000000001,7
O0016,C039,224.91,3
O0017,C041,566.332,7
O0018,C002,395.03,2
O0019,C045,467.428,6
O0020,C066,454.25,10
O0021,C017,163.59,4
O0022,C030,365.37,10
O0023,C045,558.376,2
O0024,C019,241.63,4
O0025,C006,431.75600000000003,2
O0026,C032,829.738,3
O0027,C006,884.884,7
O0028,C044,271.08,3
O0029,C018,375.26,1
O0030,C078,365.24,6
O0031,C028,537.72,10
O0032,C076,236.88,1
O0033,C016,697.086,1
O0034,C026,510.98,7
O0035,C012,253.42,4
O0036,C008,407.21,2
O0037,C003,458.64000000000004,8
O0038,C033,546.52,6
O0039,C053,814.814,6
O0040,C038,1330.0040000000001,8
O0041,C013,425.19,3
O0042,C030,490.26,1
O0043,C065,223.47,1
O0044,C067,212.64,3
O0045,C044,351.21,11
O0046,C017,374.66,3
O0047,C031,661.7,11
O0048,C057,195.19,11
O0049,C014,606.2,7
O0050,C050,270.05,11
O0051,C031,238.96,9
O0052,C002,498.1,1
O0053,C073,394.94,2
O0054,C067,491.41,1
O0055,C054,629.97,10
O0056,C032,1006.278,6
O0057,C033,344.95,2
O0058,C077,413.12,6
O0059,C038,835.432,9
O0060,C011,1051.6480000000001,8
O0061,C001,213.76,4
O0062,C050,380.97,2
O0063,C027,334.438,1
O0064,C075,356.26,6
O0065,C014,665.24,5
O0066,C021,909.92,8
O0067,C055,281.69,4
O0068,C078,191.65,7
O0069,C006,439.998,1
O0070,C057,267.78,10
O0071,C073,232.18,2
O0072,C044,168.31,4
O0073,C035,412.73,4
O0074,C040,451.33,1
O0075,C080,580.86,4
O0076,C077,307.76,9
O0077,C022,322.99,1
O0078,C024,1000.8180000000001,6
O0079,C051,397.05,2
O0080,C055,528.45,8
O0081,C031,378.23,6
O0082,C039,202.54,5
O0083,C070,546.03,8
O0084,C034,330.19,2
O0085,C049,970.5279999999999,3
O0086,C022,138.34,8
O0087,C006,592.644,4
O0088,C053,1487.4080000000001,11
O0089,C008,47.43,3
O0090,C019,445.68,9
O0091,C020,364.34,2
O0092,C078,231.59,7
O0093,C035,140.75,11
O0094,C073,415.54,5
O0095,C003,1109.654,3
O0096,C030,277.49,10
O0097,C010,530.65,10
O0098,C012,233.0,2
O0099,C078,241.6,5
O0100,C027,1504.0220000000002,11
O0101,C066,176.57,4
O0102,C066,153.83,8
O0103,C014,291.25,7
O0104,C072,435.83,8
O0105,C005,355.28,6
O0106,C053,1276.002,11
O0107,C017,431.44,7
O0108,C032,465.40000000000003,11
O0109,C050,184.0,4
O0110,C059,680.33,11
O0111,C029,199.27,4
O0112,C066,132.3,10
O0113,C016,360.49,3
O0114,C065,287.72,5
O0115,C011,911.768,7
O0116,C046,182.27,11
O0117,C043,876.2,4
O0118,C054,965.92,5
O0119,C034,145.19,8
O0120,C013,277.28,3
O0121,C008,164.26,5
O0122,C018,153.54,11
O0123,C052,226.51,4
O0124,C040,467.34,3
O0125,C028,346.17,4
O0126,C029,99.18,8
O0127,C020,199.31,1
O0128,C078,265.23,8
O0129,C040,407.28,5
O0130,C042,163.65,10
O0131,C051,376.22,8
O0132,C025,536.22,6
O0133,C045,754.208,1
O0134,C031,507.02,9
O0135,C038,737.932,2
O0136,C011,1332.266,10
O0137,C070,358.85,3
O0138,C011,954.72,8
O0139,C076,166.4,3
O0140,C010,328.88,11
O0141,C004,1587.0919999999999,3
O0142,C049,760.916,7
O0143,C046,45.78,1
O0144,C054,670.69,6
O0145,C074,308.72,6
O0146,C064,205.088,6
O0147,C047,119.47,4
O0148,C062,249.19,1
O0149,C070,379.41,4
O0150,C039,206.24,9
O0151,C014,97.02,2
O0152,C008,200.86,8
O0153,C041,2159.82,7
O0154,C060,1255.0980000000002,1
O0155,C010,338.99,7
O0156,C063,763.77,11
O0157,C035,608.52,6
O0158,C020,132.02,2
O0159,C077,449.54,3
O0160,C013,78.59,11
