floor_area_sqm,floor,building_age,distance_to_mrt_km,price_sgd,annual_footfall
95.7,20,20,3.25,701720.0,1029577.0
77.4,25,28,2.94,563784.0,625181.0
103.2,16,1,0.7,800290.0,1056577.0
101.6,6,33,1.9,547445.0,717686.0
101.6,23,39,3.43,696359.0,786615.0
93.6,27,36,1.78,711212.0,1129222.0
84.4,7,27,1.76,490762.0,801981.0
90.4,24,10,2.83,747288.0,875056.0
90.6,14,26,2.09,539830.0,1094818.0
79.5,5,31,3.15,480247.0,583667.0
92.5,7,16,0.33,627332.0,590735.0
72.4,23,15,0.95,635861.0,876911.0
73.7,22,23,0.42,579898.0,419370.0
105.0,4,0,0.67,720724.0,1333210.0
87.8,5,18,0.14,617374.0,981960.0
115.1,8,17,2.15,816301.0,891519.0
82.5,3,27,0.47,505507.0,1051701.0
98.8,10,11,1.71,722185.0,629747.0
78.2,8,0,0.35,598513.0,875204.0
109.7,15,16,0.24,712948.0,932513.0
80.6,27,21,0.51,645235.0,786090.0
89.9,28,16,1.7,738092.0,938783.0
121.0,27,23,3.38,860593.0,652210.0
95.9,12,39,0.69,618116.0,1075788.0
81.8,8,1,1.71,560300.0,650573.0
78.1,10,32,3.04,480444.0,1005549.0
118.3,19,18,2.04,785314.0,1231913.0
126.0,4,36,3.43,685001.0,638517.0
108.5,12,1,0.5,806233.0,934262.0
107.3,29,34,2.33,789586.0,938917.0
110.4,10,34,2.31,706517.0,1179599.0
79.6,15,15,3.33,589430.0,1011629.0
104.6,29,15,0.5,812245.0,767912.0
118.2,27,9,2.65,885253.0,964402.0
111.2,12,1,2.52,732870.0,890480.0
57.3,19,18,0.13,500158.0,1026533.0
82.8,22,17,2.07,720681.0,488116.0
66.5,14,8,1.75,511057.0,763172.0
46.1,26,34,1.09,391068.0,731823.0
136.4,20,37,1.67,796115.0,849217.0
117.2,18,20,0.88,792594.0,907398.0
83.9,16,24,2.87,608129.0,977002.0
146.0,11,3,1.85,990206.0,950781.0
115.3,16,5,3.24,798745.0,643430.0
