floor_area_sqm,floor,building_age,distance_to_mrt_km,price_sgd
95.7,20,20,3.25,701720.0
77.4,25,28,2.94,563784.0
103.2,16,1,0.7,800290.0
101.6,6,33,1.9,547445.0
101.6,23,39,3.43,696359.0
93.6,27,36,1.78,711212.0
84.4,7,27,1.76,490762.0
90.4,24,10,2.83,747288.0
90.6,14,26,2.09,539830.0
79.5,5,31,3.15,480247.0
92.5,7,16,0.33,627332.0
72.4,23,15,0.95,635861.0
73.7,22,23,0.42,579898.0
105.0,4,0,0.67,720724.0
87.8,5,18,0.14,617374.0
115.1,8,17,2.15,816301.0
82.5,3,27,0.47,505507.0
98.8,10,11,1.71,722185.0
78.2,8,0,0.35,598513.0
109.7,15,16,0.24,712948.0
80.6,27,21,0.51,645235.0
89.9,28,16,1.7,738092.0
121.0,27,23,3.38,860593.0
95.9,12,39,0.69,618116.0
81.8,8,1,1.71,560300.0
78.1,10,32,3.04,480444.0
118.3,19,18,2.04,785314.0
126.0,4,36,3.43,685001.0
108.5,12,1,0.5,806233.0
107.3,29,34,2.33,789586.0
110.4,10,34,2.31,706517.0
79.6,15,15,3.33,589430.0
104.6,29,15,0.5,812245.0
118.2,27,9,2.65,885253.0
111.2,12,1,2.52,732870.0
57.3,19,18,0.13,500158.0
82.8,22,17,2.07,720681.0
66.5,14,8,1.75,511057.0
46.1,26,34,1.09,391068.0
136.4,20,37,1.67,796115.0
117.2,18,20,0.88,792594.0
83.9,16,24,2.87,608129.0
146.0,11,3,1.85,990206.0
115.3,16,5,3.24,798745.0
117.5,29,26,1.77,891058.0
44.6,19,31,0.59,394793.0
74.8,16,3,2.98,614392.0
86.3,9,28,3.41,515195.0
124.1,10,20,1.0,757438.0
77.4,3,26,3.49,469737.0
91.0,15,9,1.5,678096.0
145.3,11,26,2.85,856050.0
79.8,17,37,2.48,497798.0
108.5,10,35,2.3,618176.0
114.8,15,1,2.75,887469.0
94.2,18,15,0.84,763087.0
95.7,9,16,2.37,631323.0
59.5,6,5,2.75,425147.0
94.6,11,24,3.43,603675.0
110.9,8,9,1.11,792568.0
55.8,17,12,1.84,533246.0
42.0,18,11,0.51,408262.0
98.1,26,7,0.32,737688.0
103.4,3,19,1.4,636420.0
78.2,22,29,2.42,572743.0
90.7,17,18,1.98,653758.0
55.7,5,15,0.86,366795.0
105.1,27,35,3.37,778961.0
51.9,7,24,0.37,420117.0
97.5,27,5,0.89,825855.0
93.2,12,19,0.75,611914.0
91.7,20,21,2.19,663791.0
125.6,11,39,2.19,745466.0
114.0,7,11,2.57,766057.0
115.7,16,2,2.44,839853.0
106.5,18,29,1.61,692611.0
112.0,21,3,2.69,816862.0
70.8,18,22,2.59,514131.0
120.0,28,19,2.74,844201.0
73.1,29,8,1.07,657328.0
77.4,7,23,2.48,526453.0
58.7,28,4,2.06,602099.0
97.8,14,25,2.08,642063.0
142.6,29,0,2.15,1071687.0
115.8,3,33,1.57,642547.0
66.0,11,14,3.28,501019.0
129.4,19,6,2.58,870215.0
106.9,6,18,0.94,644261.0
118.9,19,19,1.33,840453.0
114.8,24,9,2.72,835711.0
80.4,24,23,2.6,657388.0
124.2,20,9,1.42,893712.0
116.7,14,9,2.84,780824.0
103.1,20,25,3.49,700451.0
84.0,16,13,2.46,709146.0
69.4,8,6,1.06,475331.0
117.8,26,13,0.17,901916.0
107.3,11,22,1.33,657569.0
125.0,25,9,3.49,1006415.0
93.2,21,37,1.27,655973.0
110.4,21,19,3.44,763736.0
68.7,23,39,3.09,522356.0
96.6,11,34,2.93,550601.0
144.5,8,36,0.54,837098.0
76.1,28,8,2.4,655202.0
91.0,26,17,2.59,689823.0
107.5,17,21,3.28,737020.0
90.5,14,25,2.68,581175.0
94.1,25,16,0.75,723010.0
91.0,6,1,0.37,637829.0
41.2,26,12,2.88,453324.0
78.4,29,39,2.1,644583.0
91.6,20,36,2.67,628586.0
113.5,23,30,0.33,807802.0
96.3,8,29,0.83,615146.0
97.9,27,5,2.33,827749.0
108.7,15,13,3.24,734310.0
128.9,12,6,0.87,886195.0
81.1,5,33,2.9,466136.0
81.6,5,9,3.39,565849.0
88.3,10,28,3.23,520826.0
79.6,6,26,1.63,541802.0
102.3,17,14,2.72,745521.0
70.8,29,14,0.64,664976.0
82.3,11,12,2.57,542742.0
60.1,20,14,1.29,471762.0
92.9,26,2,2.41,817397.0
86.7,23,39,1.41,649100.0
75.1,19,0,1.78,655927.0
92.5,23,8,1.72,801490.0
111.4,12,24,0.85,693227.0
121.7,14,6,3.27,757311.0
125.7,3,24,1.52,699601.0
72.4,6,0,0.68,542860.0
90.8,22,8,3.14,666124.0
104.6,12,8,2.01,758708.0
106.6,21,8,0.72,774155.0
86.5,5,20,1.09,583279.0
98.7,10,35,2.88,544311.0
92.9,19,10,0.11,692919.0
104.8,14,26,2.59,744307.0
104.2,27,1,3.1,891811.0
86.7,24,39,0.21,624165.0
51.7,14,9,3.28,536962.0
36.4,20,17,2.67,333788.0
111.3,7,39,0.49,638254.0
77.6,22,21,1.92,619595.0
86.1,11,0,2.17,645891.0
141.5,29,12,0.3,1027927.0
89.1,9,31,0.34,524745.0
88.6,20,38,1.54,619708.0
65.7,18,1,1.94,569893.0
88.1,13,24,1.06,533323.0
90.8,27,22,2.11,658854.0
81.9,12,38,2.64,577098.0
117.4,22,31,2.94,789533.0
83.3,3,4,0.9,528125.0
75.1,20,2,2.59,623832.0
108.2,16,34,1.88,706040.0
60.6,27,19,0.83,553151.0
112.7,22,25,2.65,851656.0
87.6,13,37,1.64,592467.0
78.1,13,9,1.33,576352.0
83.7,21,22,1.08,619911.0
76.0,18,31,2.37,535353.0
120.7,19,2,1.25,876268.0
95.2,12,4,1.49,791911.0
103.9,9,0,3.07,767155.0
124.6,20,22,1.24,836232.0
75.6,3,29,3.41,427211.0
116.8,25,32,1.41,850496.0
88.7,19,6,1.4,675640.0
84.5,29,26,3.15,660351.0
109.4,18,25,0.21,740470.0
117.9,10,3,0.74,820650.0
85.1,13,24,1.06,606810.0
154.7,17,15,0.46,1017998.0
74.8,10,2,2.13,607948.0
123.7,6,30,1.54,751522.0
71.9,27,33,3.1,606957.0
85.6,26,20,1.32,768017.0
74.4,10,17,0.5,477587.0
53.0,7,37,1.2,329657.0
112.1,25,6,0.78,836665.0
86.0,25,20,0.77,671634.0
40.2,26,11,2.56,480194.0
126.9,3,29,1.23,643125.0
87.5,9,31,2.94,499153.0
94.6,21,28,0.42,666085.0
116.0,21,17,0.7,769619.0
69.7,13,8,1.69,524088.0
86.7,3,11,1.47,530429.0
117.7,18,14,2.38,839413.0
84.1,19,9,0.19,684895.0
88.6,22,38,1.41,613676.0
82.0,3,32,0.3,431112.0
83.3,29,10,2.39,717495.0
84.8,11,9,0.71,587499.0
134.7,24,36,2.51,883863.0
115.7,7,19,3.13,743322.0
116.6,13,30,1.09,731422.0
125.8,13,16,0.54,781203.0
77.4,12,33,0.85,434797.0
108.3,17,9,0.59,819352.0
70.6,11,22,3.18,508146.0
113.5,19,26,0.81,781119.0
68.7,19,32,2.79,504647.0
91.8,10,35,1.23,576358.0
104.7,28,30,2.26,758612.0
86.6,24,21,2.02,611696.0
117.8,22,31,1.48,774986.0
96.8,29,18,2.44,738709.0
111.4,29,12,2.89,882878.0
67.9,24,10,2.36,558045.0
136.3,9,34,2.42,815038.0
86.0,9,27,1.06,561252.0
130.5,28,12,1.67,972644.0
67.0,26,34,1.61,555984.0
114.8,4,0,2.86,750130.0
84.9,15,14,2.0,660345.0
