tenure_months,monthly_charge,support_tickets,late_payments,contract,churned
17,87.72,1,2,Annual,yes
64,100.75,4,0,Annual,no
52,75.89,2,1,Monthly,no
67,126.19,1,1,Monthly,no
60,110.27,1,1,Monthly,no
71,76.15,2,1,Monthly,no
23,67.59,3,2,Annual,no
56,114.86,1,1,Monthly,no
60,77.05,0,1,Annual,no
72,63.5,3,0,Annual,no
12,82.02,3,1,Monthly,yes
52,96.39,3,1,Annual,no
65,85.06,3,2,Monthly,yes
6,106.46,2,2,Annual,yes
39,88.18,2,3,Annual,yes
43,89.57,0,3,Monthly,yes
13,87.14,1,1,Monthly,yes
7,119.59,3,0,Monthly,yes
67,122.24,1,2,Monthly,no
18,102.29,2,2,Monthly,yes
61,55.41,2,0,Annual,no
17,87.95,4,2,Monthly,yes
21,75.45,3,0,Monthly,yes
5,39.59,4,0,Monthly,yes
64,84.25,1,1,Annual,no
18,71.9,2,1,Monthly,no
38,59.39,1,2,Monthly,no
40,108.08,1,1,Monthly,yes
64,94.37,4,0,Annual,no
59,110.47,2,2,Monthly,yes
30,77.82,2,1,Monthly,yes
69,72.91,2,1,Monthly,no
7,95.78,1,0,Annual,no
34,48.07,0,1,Annual,no
37,111.21,2,1,Monthly,no
51,109.75,1,2,Annual,yes
41,95.92,2,1,Annual,yes
21,90.05,2,1,Monthly,yes
20,88.23,2,1,Monthly,yes
11,69.53,2,0,Monthly,no
53,141.67,4,2,Monthly,yes
57,111.13,0,1,Monthly,yes
33,85.27,1,3,Annual,no
67,140.92,4,1,Monthly,no
41,167.99,2,0,Annual,yes
64,99.83,2,0,Monthly,yes
9,54.3,2,0,Annual,no
53,126.26,0,1,Annual,yes
67,149.74,3,0,Monthly,no
20,50.11,2,1,Monthly,no
63,64.37,4,4,Monthly,yes
6,24.95,2,1,Monthly,yes
16,97.77,4,1,Monthly,yes
3,67.01,4,2,Monthly,no
29,119.0,0,2,Monthly,yes
9,102.32,5,4,Monthly,yes
36,106.27,2,0,Monthly,no
10,79.28,0,3,Monthly,yes
32,76.59,2,0,Annual,no
72,64.84,4,1,Annual,no
63,67.72,3,1,Annual,yes
70,104.98,1,1,Monthly,no
47,38.95,1,2,Monthly,no
70,81.12,3,2,Monthly,no
14,59.83,1,1,Annual,no
48,100.98,2,1,Annual,no
45,153.67,2,2,Annual,yes
68,114.56,3,2,Monthly,no
59,127.95,0,2,Monthly,no
66,72.33,2,1,Monthly,no
31,105.2,2,3,Monthly,yes
2,145.47,0,2,Monthly,yes
55,81.96,1,0,Monthly,no
41,82.79,2,2,Annual,yes
30,108.11,1,2,Monthly,yes
64,64.24,2,1,Monthly,yes
6,41.57,2,0,Annual,no
56,83.09,1,2,Monthly,no
16,46.22,1,0,Annual,no
62,73.46,0,1,Monthly,no
66,128.71,3,0,Annual,no
68,110.08,2,3,Monthly,yes
9,113.07,0,0,Monthly,yes
62,76.47,2,0,Annual,no
5,123.66,5,1,Monthly,yes
41,20.0,4,2,Monthly,no
22,91.75,3,2,Annual,yes
9,99.88,1,0,Annual,yes
9,63.38,2,2,Annual,no
16,84.12,3,2,Annual,yes
54,75.76,1,0,Monthly,no
8,74.44,2,3,Monthly,yes
34,94.04,2,1,Monthly,yes
68,81.03,8,1,Annual,yes
47,94.7,2,0,Monthly,no
51,78.97,3,1,Monthly,no
49,80.74,1,2,Monthly,no
9,88.24,1,2,Monthly,yes
14,62.9,3,0,Monthly,yes
37,92.44,4,2,Annual,yes
52,85.19,3,2,Monthly,no
26,82.68,2,1,Monthly,no
41,95.22,1,2,Monthly,yes
28,123.36,2,0,Monthly,yes
49,76.89,2,1,Annual,no
41,88.77,4,2,Monthly,yes
30,140.71,2,0,Monthly,yes
27,133.51,3,2,Annual,yes
58,97.3,2,2,Annual,yes
40,66.67,0,0,Annual,no
51,113.56,3,1,Annual,yes
61,83.59,1,0,Annual,no
24,44.45,2,3,Monthly,no
70,82.76,1,0,Monthly,no
57,103.92,1,1,Annual,no
25,75.6,0,0,Annual,no
55,102.94,2,1,Monthly,no
32,83.82,2,1,Monthly,yes
14,90.58,3,2,Annual,yes
23,90.05,1,1,Annual,yes
23,103.39,1,1,Monthly,no
60,110.58,2,3,Annual,yes
5,102.88,3,0,Annual,yes
15,57.33,0,0,Annual,no
39,66.03,1,0,Monthly,no
10,127.57,2,1,Annual,yes
48,118.6,3,3,Monthly,yes
53,56.34,1,0,Annual,no
51,124.64,1,2,Annual,yes
68,129.4,2,0,Annual,no
36,133.18,4,2,Annual,yes
10,73.2,1,1,Monthly,yes
66,67.28,4,0,Annual,no
17,93.31,1,0,Monthly,yes
66,53.35,4,1,Monthly,yes
12,22.98,1,2,Annual,yes
49,90.54,2,1,Monthly,no
51,66.06,4,2,Monthly,yes
67,82.38,4,0,Annual,yes
24,42.75,2,0,Monthly,no
58,79.67,2,0,Monthly,yes
36,57.28,4,1,Annual,no
12,74.66,0,0,Annual,no
35,67.96,1,0,Annual,no
59,114.95,5,2,Annual,yes
34,89.13,3,2,Monthly,yes
63,96.42,2,1,Monthly,no
9,92.04,1,0,Annual,no
10,90.49,3,1,Monthly,yes
6,79.9,2,2,Monthly,yes
55,148.97,1,1,Annual,yes
59,86.8,1,2,Annual,no
31,95.83,1,0,Annual,no
23,103.2,3,1,Monthly,no
69,120.45,1,2,Monthly,no
44,110.4,2,3,Monthly,yes
72,110.2,2,1,Monthly,no
30,96.08,2,0,Monthly,no
35,71.3,1,0,Monthly,no
23,86.18,5,2,Monthly,yes
17,53.27,1,1,Monthly,no
35,115.4,1,0,Monthly,yes
65,119.52,1,0,Monthly,no
18,94.45,2,0,Annual,yes
70,54.86,2,0,Annual,no
36,88.4,3,1,Monthly,yes
26,104.8,1,1,Annual,no
17,112.24,3,0,Annual,no
35,92.5,4,0,Monthly,yes
35,67.19,1,1,Monthly,no
16,76.89,2,0,Annual,no
50,89.56,1,1,Annual,yes
2,83.22,1,1,Monthly,yes
4,69.27,1,1,Annual,no
11,76.75,5,0,Monthly,yes
34,80.24,2,0,Annual,yes
7,113.06,1,1,Monthly,yes
35,67.35,3,1,Monthly,yes
63,45.26,0,0,Monthly,no
43,63.06,3,0,Monthly,no
58,104.48,4,0,Monthly,no
35,107.45,1,0,Monthly,no
34,56.57,2,3,Annual,yes
58,85.34,0,1,Annual,no
4,102.43,1,3,Annual,yes
11,86.07,0,0,Monthly,no
12,57.1,0,0,Monthly,no
27,119.18,3,0,Annual,no
39,86.4,4,0,Annual,no
30,55.59,2,2,Monthly,no
43,115.92,2,0,Monthly,yes
71,105.78,3,0,Monthly,no
26,41.4,1,3,Annual,no
37,98.44,2,0,Annual,no
45,81.75,1,2,Monthly,no
6,86.19,1,0,Monthly,yes
70,59.04,2,0,Monthly,no
28,51.14,2,2,Annual,yes
40,83.0,1,0,Monthly,yes
22,56.5,3,1,Monthly,no
5,98.58,1,2,Monthly,yes
45,82.23,1,3,Monthly,yes
44,80.71,3,0,Monthly,yes
56,64.94,1,1,Monthly,no
8,104.48,5,4,Monthly,yes
64,101.51,1,1,Monthly,no
2,60.6,6,2,Monthly,no
67,130.15,2,2,Monthly,yes
1,79.95,1,0,Annual,yes
43,82.23,3,1,Annual,yes
63,86.83,1,4,Annual,yes
23,129.93,5,1,Monthly,yes
12,142.47,3,0,Monthly,yes
28,28.53,3,1,Monthly,no
9,100.87,3,0,Monthly,yes
8,34.96,4,0,Annual,no
27,132.0,4,3,Annual,yes
28,82.92,1,0,Annual,no
5,106.79,3,1,Monthly,yes
56,114.24,1,0,Monthly,no
33,67.5,2,1,Monthly,no
21,94.04,4,1,Annual,yes
12,50.14,2,1,Monthly,yes
51,71.47,3,0,Monthly,yes
49,84.17,5,1,Monthly,no
57,55.29,2,1,Monthly,no
66,112.88,1,0,Monthly,no
68,103.67,2,0,Monthly,no
1,107.42,1,1,Monthly,no
17,92.88,1,1,Annual,yes
64,75.44,6,1,Monthly,yes
30,108.41,5,1,Monthly,no
22,131.26,2,2,Annual,yes
47,129.9,1,2,Monthly,yes
65,76.97,1,0,Annual,no
71,99.81,2,2,Monthly,no
68,76.62,2,1,Annual,no
14,132.69,3,0,Annual,yes
17,53.98,1,1,Monthly,yes
40,48.36,2,0,Monthly,yes
15,72.86,3,0,Monthly,yes
14,46.34,2,3,Annual,no
35,92.97,0,1,Monthly,no
11,91.24,0,0,Monthly,yes
8,72.72,2,1,Monthly,no
43,96.44,1,2,Monthly,no
24,74.54,5,2,Annual,yes
49,56.41,2,1,Annual,no
15,102.08,1,1,Monthly,yes
18,52.83,3,2,Monthly,no
72,117.8,1,0,Monthly,no
13,82.22,1,1,Monthly,yes
29,79.8,4,1,Monthly,yes
1,97.84,1,1,Monthly,yes
9,94.76,2,1,Monthly,yes
