annual_spend_k,visits_per_month,returns_pct
9.12,9.42,8.33
7.27,4.57,17.33
5.81,2.32,18.52
9.26,9.22,10.61
5.73,3.57,19.74
9.77,7.88,9.63
2.21,6.04,2.88
6.12,3.26,18.38
10.73,9.57,6.86
10.25,8.44,9.96
5.14,3.08,18.81
2.24,6.09,1.67
0.99,8.31,5.39
5.9,4.86,18.82
2.34,6.24,6.1
9.26,10.88,8.19
3.48,7.48,3.56
11.14,8.36,10.19
1.46,8.11,3.18
1.88,7.7,3.98
5.35,1.87,19.64
7.69,4.36,18.2
7.63,3.36,18.71
8.7,7.73,10.2
10.88,8.87,9.22
1.52,7.81,6.08
1.66,7.2,4.86
2.36,9.54,3.08
10.4,9.7,9.24
7.99,5.28,18.1
1.16,7.69,2.29
9.24,3.57,18.56
10.37,8.49,10.37
10.06,8.65,10.5
2.09,6.01,4.17
1.54,9.06,1.31
7.62,3.62,17.17
1.19,7.5,5.35
8.14,3.78,20.2
10.1,9.6,8.2
10.18,8.46,7.54
9.8,9.99,9.82
11.04,9.71,10.91
9.6,9.12,9.23
7.98,1.52,16.19
-0.62,8.82,5.03
11.59,9.36,8.74
11.91,9.93,10.94
2.65,9.52,3.22
10.74,9.73,8.29
7.07,1.63,18.53
6.42,3.1,18.38
1.4,7.71,3.77
7.75,1.97,17.58
9.98,8.74,9.67
1.61,6.54,4.09
10.77,8.86,8.67
2.06,10.46,4.07
6.62,3.91,17.86
10.07,8.39,8.28
8.63,8.56,8.81
7.57,2.91,20.63
9.26,8.71,8.99
5.98,1.18,18.3
7.3,3.42,15.93
10.56,9.57,7.49
2.01,7.77,6.08
6.73,3.86,15.67
10.28,10.33,9.39
6.91,3.41,17.63
7.82,1.06,18.43
2.09,7.7,4.6
5.07,3.22,20.21
1.93,9.0,5.06
0.89,6.8,3.9
8.87,9.83,7.93
8.68,1.32,17.52
3.58,8.77,3.89
7.62,7.62,17.37
1.47,8.51,4.4
0.58,7.58,4.15
11.05,9.01,9.94
7.31,3.94,16.71
7.35,2.14,15.88
1.99,6.94,4.78
8.16,3.5,18.72
7.33,3.99,19.76
10.32,8.38,9.34
1.96,9.56,2.35
7.26,1.51,18.49
0.52,7.28,6.6
1.84,8.4,3.33
9.25,8.5,8.93
9.57,8.41,7.49
6.06,2.61,17.98
5.83,3.94,19.48
11.43,7.89,7.76
1.54,7.53,5.97
2.26,7.93,5.08
2.74,8.17,5.47
10.49,8.82,8.34
5.94,3.18,18.4
7.21,3.46,16.78
9.29,8.9,10.28
6.18,3.28,15.93
7.08,8.08,10.25
1.32,8.61,2.59
1.97,6.83,4.77
5.93,2.02,18.06
7.02,4.74,17.99
7.7,5.63,16.07
2.32,7.61,3.04
6.71,2.1,16.94
3.47,7.77,5.26
11.17,9.02,10.21
9.78,0.76,17.68
6.46,4.03,16.22
2.82,6.78,4.72
7.12,2.4,19.2
10.67,9.55,7.16
2.81,9.36,4.29
6.21,4.02,17.19
4.57,3.22,18.69
1.53,8.54,2.94
6.07,2.72,18.35
8.92,8.7,9.4
7.08,1.71,19.4
2.33,8.98,3.58
9.35,8.81,9.44
1.09,6.59,4.88
10.61,8.72,7.12
6.14,3.82,17.05
8.39,2.02,18.98
2.36,7.35,2.83
2.1,8.97,5.33
1.78,8.36,4.67
7.43,3.67,18.42
3.03,8.93,6.1
3.14,8.75,3.84
11.3,7.71,7.72
6.68,6.26,17.48
9.98,8.1,10.14
10.45,9.78,5.66
0.28,7.44,3.36
11.15,8.47,7.72
8.3,4.26,16.91
1.4,9.85,2.61
5.52,1.42,17.6
2.07,6.58,4.54
9.86,9.53,9.7
1.77,7.77,5.67
9.09,7.91,10.74
3.89,8.17,5.88
10.22,8.54,10.48
10.29,8.26,9.47
11.92,7.24,8.47
0.85,8.38,4.88
2.3,8.26,2.13
9.58,9.21,7.4
9.81,8.56,7.97
0.67,8.2,2.63
9.47,9.76,8.8
9.57,3.76,21.0
5.57,3.79,17.17
10.81,9.28,7.0
1.3,7.67,3.86
7.95,1.91,17.4
10.29,8.88,8.95
2.92,8.33,3.0
1.81,8.3,5.09
11.47,7.71,10.21
7.05,2.22,18.34
9.99,8.19,9.98
10.09,9.54,8.75
0.08,7.97,3.17
9.98,9.11,10.37
6.43,4.31,18.37
5.71,3.58,15.55
9.17,8.95,8.57
2.5,7.86,1.64
