transaction_id,item
T001,milk
T001,diapers
T001,beer
T001,bread
T002,milk
T002,diapers
T002,beer
T002,cola
T003,milk
T003,diapers
T003,beer
T003,eggs
T004,milk
T004,diapers
T004,beer
T004,bread
T004,cola
T005,milk
T005,bread
T005,eggs
T006,diapers
T006,beer
T006,cola
T007,bread
T007,butter
T008,milk
T008,diapers
T008,beer
T009,coffee
T009,bread
T009,milk
T010,diapers
T010,beer
T010,eggs
T011,milk
T011,diapers
T011,beer
T011,bread
T012,coffee
T012,sugar
T013,milk
T013,diapers
T013,cola
T014,bread
T014,butter
T014,jam
T015,milk
T015,diapers
T015,beer
T015,eggs
