reading_id,temperature,line
1,99.01,A
2,102.35,A
3,103.74,B
4,104.85,B
5,101.54,B
6,105.05,A
7,109.04,A
8,105.51,B
9,109.37,B
10,109.28,B
11,108.62,A
12,107.99,A
13,109.07,A
14,111.42,B
15,108.01,A
16,108.94,B
17,103.48,A
18,109.51,A
19,109.64,B
20,107.26,A
21,108.59,A
22,105.56,A
23,103.27,A
24,100.06,B
25,102.33,A
26,103.98,B
27,105.4,B
28,103.97,A
29,97.99,A
30,97.55,A
31,97.59,B
32,94.62,B
33,95.91,B
34,95.6,A
35,93.53,A
36,97.34,B
37,92.14,A
38,88.53,B
39,95.7,A
40,89.47,A
41,158.0,B
42,91.24,A
43,90.48,B
44,94.46,B
45,93.72,B
46,94.75,A
47,94.48,A
48,95.22,A
49,97.61,A
50,96.53,B
51,95.72,A
52,96.85,B
53,99.21,B
54,98.42,B
55,98.27,A
56,98.98,B
57,99.82,A
58,97.93,B
59,103.44,B
60,103.79,B
61,103.84,B
62,102.18,B
63,106.99,A
64,102.6,B
65,107.93,A
66,106.69,B
67,110.32,A
68,104.93,B
69,108.9,B
70,106.73,A
71,108.81,A
72,104.41,A
73,108.52,A
74,109.45,A
75,105.67,A
76,102.8,A
77,100.78,B
78,103.95,B
79,107.61,B
80,102.85,A
81,106.54,B
82,105.22,B
83,99.02,A
84,97.41,A
85,102.36,B
86,97.94,B
87,101.16,A
88,48.0,A
89,90.69,B
90,94.52,B
91,98.14,B
92,92.91,B
93,93.23,B
94,94.23,A
95,89.96,B
96,95.79,A
97,88.65,B
98,91.88,B
99,93.65,A
100,89.44,B
101,89.93,A
102,90.84,A
103,94.04,A
104,93.98,B
105,90.81,A
106,96.98,B
107,96.82,B
108,97.19,A
109,102.12,B
110,100.96,A
111,96.02,B
112,101.46,B
113,97.82,A
114,102.56,A
115,101.88,B
116,100.87,B
117,100.47,A
118,106.94,A
119,101.51,B
120,102.23,A
121,171.0,B
122,108.46,A
123,105.99,A
124,107.03,B
125,107.7,B
126,110.54,A
127,106.97,B
128,107.08,A
129,108.77,A
130,109.45,B
131,103.95,A
132,104.47,B
133,103.04,A
134,107.11,B
135,105.8,B
136,104.33,A
137,101.29,A
138,107.18,B
139,100.56,B
140,100.31,B
141,97.83,A
142,99.77,B
143,97.51,A
144,99.16,B
145,95.29,B
146,93.71,B
147,93.9,B
148,96.71,B
149,92.78,A
150,95.5,B
